Dataset,Data_Type,Peak_Rank,Period_days,LS_Power,N_points,Time_span
DS4,BIS [m/s],3,1.7741371853421175,0.055887858780314395,278,91.98901305998879
DS4,H-alpha Emission,1,1.8233699318134546,0.06385374014620585,278,91.98901305998879
DS4,H-alpha Emission,2,1.1549154182045045,0.062471630253849365,278,91.98901305998879
DS4,H-alpha Emission,3,1.422877232173067,0.061423030252811574,278,91.98901305998879
DS4,CaII Emission,1,2.551706326213281,0.052221518623206745,278,91.98901305998879
DS4,CaII Emission,2,3.5312481021108946,0.05069109531666087,278,91.98901305998879
DS4,CaII Emission,3,6.194546334005979,0.040657580768987074,278,91.98901305998879
DS5,RV [m/s],1,61.37211513801895,0.36505470053971223,280,88.98956695012748
DS5,RV [m/s],2,33.58096866042546,0.18998368310127137,280,88.98956695012748
DS5,RV [m/s],3,10.055318299449432,0.08715358486325417,280,88.98956695012748
DS5,CCF Contrast,1,1.2887699775543444,0.0699806519682434,280,88.98956695012748
DS5,CCF Contrast,2,1.1489937630745963,0.06516414659088249,280,88.98956695012748
DS5,CCF Contrast,3,2.5682414704221497,0.0602097155073078,280,88.98956695012748
DS5,CCF FWHM [m/s],1,21.97273258027839,0.04356251681645353,280,88.98956695012748
DS5,CCF FWHM [m/s],2,43.40954485372072,0.031292274778322644,280,88.98956695012748
DS5,CCF FWHM [m/s],3,16.32836090828027,0.028728940119464006,280,88.98956695012748
DS5,BIS [m/s],1,2.866008597427616,0.048332327811099744,280,88.98956695012748
DS5,BIS [m/s],2,2.5831514354173435,0.04487175571424334,280,88.98956695012748
DS5,BIS [m/s],3,23.114173233799345,0.039451842201037784,280,88.98956695012748
DS5,H-alpha Emission,1,1.1489937630745963,0.08129129229936664,280,88.98956695012748
DS5,H-alpha Emission,2,1.2887699775543444,0.06497379940573689,280,88.98956695012748
DS5,H-alpha Emission,3,2.866008597427616,0.05368539274126399,280,88.98956695012748
DS5,CaII Emission,1,2.146913557301025,0.052056930091819116,280,88.98956695012748
DS5,CaII Emission,2,19.137541279597308,0.04832566379651849,280,88.98956695012748
DS5,CaII Emission,3,1.2813472563013315,0.04604297857549453,280,88.98956695012748
DS6,RV [m/s],1,14.435943530571564,0.39364267712172807,319,87.33745835995796
DS6,RV [m/s],2,5.803153379399199,0.12169695033770384,319,87.33745835995796
DS6,RV [m/s],3,1.1132881881447796,0.11524551526619918,319,87.33745835995796
DS6,CCF Contrast,1,2.610985302240896,0.05552720764413808,319,87.33745835995796
DS6,CCF Contrast,2,1.189073633219305,0.05312487478202896,319,87.33745835995796
DS6,CCF Contrast,3,1.2292393857840669,0.05074946189469235,319,87.33745835995796
DS6,CCF FWHM [m/s],1,38.81664815998132,0.06171948927646812,319,87.33745835995796
DS6,CCF FWHM [m/s],2,2.010068086535281,0.03179655148920423,319,87.33745835995796
DS6,CCF FWHM [m/s],3,1.6715303035398652,0.026821261328216224,319,87.33745835995796
DS6,BIS [m/s],1,38.81664815998132,0.04959579903689375,319,87.33745835995796
DS6,BIS [m/s],2,2.010068086535281,0.04333420387402607,319,87.33745835995796
DS6,BIS [m/s],3,1.4942251216417102,0.03377424123718403,319,87.33745835995796
DS6,H-alpha Emission,1,1.189073633219305,0.06447735942041208,319,87.33745835995796
DS6,H-alpha Emission,2,1.3143334591415794,0.062364839886810575,319,87.33745835995796
DS6,H-alpha Emission,3,2.610985302240896,0.05927869452500493,319,87.33745835995796
DS6,CaII Emission,1,1.2292393857840669,0.04532971870659885,319,87.33745835995796
DS6,CaII Emission,2,2.595466816046299,0.038701072672873114,319,87.33745835995796
DS6,CaII Emission,3,1.189073633219305,0.03063740978015093,319,87.33745835995796
DS7,RV [m/s],1,26.24102107191664,0.12231645038829768,288,85.28331848372909
DS7,RV [m/s],2,12.450119486675778,0.10903594719335345,288,85.28331848372909
DS7,RV [m/s],3,1.6575960832600407,0.08785411625828587,288,85.28331848372909
DS7,CCF Contrast,1,1.7748869611598146,0.05802166766844073,288,85.28331848372909
DS7,CCF Contrast,2,1.510776235318496,0.05165622531804366,288,85.28331848372909
DS7,CCF Contrast,3,1.8439636428914397,0.04916512891677068,288,85.28331848372909
DS7,CCF FWHM [m/s],1,1.789786327045731,0.05086791737998916,288,85.28331848372909
DS7,CCF FWHM [m/s],2,1.8439636428914397,0.04877204068279165,288,85.28331848372909
DS7,CCF FWHM [m/s],3,37.903697103879594,0.046731444342281325,288,85.28331848372909
DS7,BIS [m/s],1,1.8439636428914397,0.05133136324818791,288,85.28331848372909
DS7,BIS [m/s],2,1.7823055064520186,0.037101960753238995,288,85.28331848372909
DS7,BIS [m/s],3,37.903697103879594,0.0365739282102046,288,85.28331848372909
DS7,H-alpha Emission,1,1.54919742931388,0.059326606151941096,288,85.28331848372909
DS7,H-alpha Emission,2,2.549576038377551,0.04515126494241726,288,85.28331848372909
DS7,H-alpha Emission,3,1.7823055064520186,0.03995962431561188,288,85.28331848372909
DS7,CaII Emission,1,1.3612660572023798,0.06362765801225434,288,85.28331848372909
DS7,CaII Emission,2,1.1068568265247123,0.04693943156521028,288,85.28331848372909
DS7,CaII Emission,3,1.6322166216981644,0.03828430059993624,288,85.28331848372909
DS8,RV [m/s],1,5.3052955354750635,0.09861178561350123,320,90.45528887984983
DS8,RV [m/s],2,6.2598815833806105,0.09799312175149574,320,90.45528887984983
